Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,0.433000,-315.349060,-738.461853,-132.163925,-286.093170,-743.117188,-225.263916,-337.663116,-269.936218,-126.015900,-286.715637,-619.932495,-261.281158,-313.650726,-227.717896,-211.537933,-301.840240,-331.516754,-286.280792,-281.169281,-614.229309,-407.313049,-300.645813,-267.278931,-421.149536,-312.003632,-442.035950,-456.638306
53,0.442000,-315.355804,-736.728638,-132.163620,-286.095398,-742.605103,-225.223221,-336.146484,-273.684052,-127.125961,-286.498047,-619.829773,-262.812500,-312.450165,-231.245880,-212.642212,-301.059631,-334.237427,-288.386383,-281.077148,-615.739990,-408.927704,-299.907196,-268.559784,-422.826080,-311.706818,-443.376251,-458.185272
54,0.450000,-315.427032,-734.974243,-132.162064,-285.901154,-742.222046,-225.222595,-334.943176,-277.768616,-128.184982,-286.328552,-619.854309,-264.432373,-311.213806,-235.308014,-213.697006,-299.951721,-337.188843,-290.954102,-281.007843,-617.069031,-410.583893,-299.385498,-269.604309,-424.385712,-311.440063,-444.812134,-459.844482
55,0.458000,-315.561127,-733.212585,-132.156006,-285.984680,-741.875488,-225.230331,-333.767334,-282.424469,-129.242111,-286.217957,-619.876282,-265.962097,-310.078064,-239.626663,-214.699890,-299.129608,-340.343506,-293.604828,-281.007690,-618.612305,-412.225677,-298.708069,-271.508820,-426.371216,-311.196686,-446.207428,-461.512573
56,0.467000,-315.687256,-731.451782,-132.205139,-286.164185,-741.442566,-225.231293,-332.429718,-287.576538,-130.362915,-286.135895,-619.954041,-267.581146,-308.941040,-244.457565,-215.451096,-298.696503,-343.668488,-296.215881,-281.021912,-620.216858,-413.830444,-297.999329,-272.872375,-428.251007,-310.913055,-447.831512,-463.249786
57,0.475000,-315.776855,-729.580872,-132.271362,-286.287415,-740.987549,-225.231628,-331.556946,-292.951447,-131.161636,-286.083527,-619.910950,-269.159546,-308.298828,-249.488403,-216.130371,-297.728729,-346.954346,-299.144958,-280.997131,-621.669250,-415.485840,-297.349762,-274.449341,-430.151947,-310.544983,-449.246429,-465.027222
58,0.483000,-315.859711,-727.689209,-132.460632,-286.367126,-740.411194,-225.323685,-330.485535,-298.467407,-131.931976,-285.987244,-619.850464,-270.804504,-307.315460,-254.754745,-216.815155,-296.767914,-350.087830,-302.388092,-280.814209,-623.002075,-417.162994,-297.044983,-275.691467,-432.127472,-310.231415,-450.610962,-466.884003
59,0.492000,-315.892365,-725.773682,-132.687073,-286.333832,-739.808655,-225.379822,-329.535004,-304.184357,-132.717773,-285.719208,-619.941650,-272.584015,-306.561981,-260.178101,-217.462677,-295.985260,-353.137238,-305.569672,-280.496124,-624.381897,-418.898560,-296.464600,-277.022339,-434.524628,-309.925598,-451.998352,-468.818024
60,0.500000,-315.860321,-723.911621,-132.912308,-286.226257,-739.226990,-225.394608,-329.038239,-310.161163,-133.386749,-285.341003,-620.002930,-274.239014,-305.897217,-265.628693,-218.092728,-295.409058,-356.243744,-308.825592,-280.162201,-625.591736,-420.570068,-296.036774,-278.310303,-436.603699,-309.668854,-453.282379,-470.607635
61,0.508000,-315.831085,-721.817810,-133.144699,-286.035767,-738.515198,-225.291916,-328.459808,-315.908356,-134.506805,-285.081421,-620.023499,-275.798126,-305.257294,-271.356049,-219.079803,-294.772583,-359.681976,-311.915070,-279.801392,-626.863831,-422.046539,-295.926331,-279.392731,-438.480072,-309.281708,-454.553345,-472.403534
62,0.517000,-315.806305,-719.928772,-133.258926,-285.876221,-737.819580,-225.167480,-328.045105,-321.980072,-135.712265,-285.020111,-619.842407,-277.122406,-305.003876,-276.858612,-219.865631,-294.430695,-362.845917,-314.928253,-279.417114,-627.940613,-423.369080,-295.790131,-280.326630,-440.383179,-309.082001,-455.809235,-473.908997
63,0.525000,-315.873932,-718.049377,-133.298981,-285.632446,-737.025452,-224.998993,-327.940918,-327.904541,-136.903152,-284.960846,-619.732727,-278.487427,-304.836060,-282.270752,-220.776871,-294.207825,-365.851318,-317.851166,-279.081848,-629.105652,-424.540344,-295.527802,-281.773743,-442.326416,-308.702118,-457.026428,-475.483856
64,0.533000,-315.906433,-716.139771,-133.409729,-285.540741,-736.290039,-224.784683,-328.182739,-334.014771,-138.154861,-284.805817,-619.556396,-279.572693,-305.005280,-287.477692,-221.524872,-294.173035,-368.664734,-320.588776,-278.655457,-630.171814,-425.705597,-295.320068,-282.554291,-443.841644,-308.419769,-458.189880,-476.827393
65,0.542000,-315.988037,-714.104858,-133.494446,-285.522217,-735.508301,-224.584213,-328.659241,-339.963928,-139.398895,-284.706757,-619.419067,-280.850769,-305.434204,-292.559204,-222.299835,-294.406189,-371.402802,-323.041321,-278.221832,-631.319763,-426.808044,-295.100037,-283.718475,-445.377899,-308.105194,-459.398529,-478.149811
66,0.550000,-315.983215,-712.139221,-133.565582,-285.256195,-734.482544,-224.260025,-329.432861,-345.633698,-140.521072,-284.656464,-619.158997,-281.833527,-306.188843,-297.309570,-222.882675,-294.668732,-373.838287,-325.261993,-277.876556,-632.434570,-427.739227,-295.331268,-284.472717,-446.495911,-307.868134,-460.571655,-479.248322
67,0.558000,-316.046326,-710.216675,-133.573608,-284.892395,-733.172424,-224.119278,-330.378113,-350.994598,-141.552261,-284.596008,-618.895508,-282.916962,-306.996796,-302.001251,-223.441620,-294.951813,-376.051086,-327.285645,-277.385406,-633.414246,-428.693573,-295.437683,-285.408813,-447.539886,-307.625885,-461.675629,-480.383942
68,0.567000,-316.006317,-708.217102,-133.778152,-284.819550,-732.650879,-223.779968,-331.354126,-355.999512,-142.471146,-284.466431,-618.588562,-283.944519,-307.954163,-306.179932,-223.973022,-295.290314,-378.053589,-329.240631,-276.872040,-634.355164,-429.593323,-295.527130,-286.554321,-448.760345,-307.437195,-462.602112,-481.301605
69,0.575000,-316.036926,-706.170593,-133.929703,-284.661438,-731.578918,-223.556488,-332.068756,-360.578003,-143.500992,-284.445526,-618.249084,-285.003021,-308.918701,-310.083038,-224.467255,-295.706207,-380.104462,-330.993378,-276.390472,-635.250488,-430.468292,-295.921021,-287.506195,-449.722626,-307.159607,-463.656250,-482.303345
70,0.583000,-316.111023,-704.109802,-134.118042,-284.351318,-730.249146,-223.529984,-332.874390,-364.903687,-144.549194,-284.554138,-617.894531,-285.882904,-309.860413,-313.618988,-224.992722,-296.342682,-381.855988,-332.619690,-275.950714,-636.079285,-431.244629,-296.469452,-288.273071,-450.456390,-306.982819,-464.439209,-483.164001
