,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 4301,Unlabeled 4301,Unlabeled 4301,Unlabeled 4302,Unlabeled 4302,Unlabeled 4302,Unlabeled 4303,Unlabeled 4303,Unlabeled 4303,Unlabeled 4304,Unlabeled 4304,Unlabeled 4304,Unlabeled 4305,Unlabeled 4305,Unlabeled 4305,Unlabeled 4306,Unlabeled 4306,Unlabeled 4306,Unlabeled 4307,Unlabeled 4307,Unlabeled 4307,Unlabeled 4308,Unlabeled 4308,Unlabeled 4308,Unlabeled 4309,Unlabeled 4309,Unlabeled 4309
,ID,"656D11BA8CFC447911EF","656D11BA8CFC447911EF","656D11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656E11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","656F11BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657011BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657111BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657211BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657311BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657411BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF","657511BA8CFC447911EF"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
43,0.358000,-314.794891,-907.533081,-362.326874,-284.887390,-897.025757,-455.421356,-334.701904,-336.655334,-362.223541,-282.536865,-787.787048,-523.844849,-306.338196,-347.858826,-455.953247,-294.345764,-444.637695,-540.036865,-274.995026,-749.076538,-665.762573,-288.833954,-402.552155,-683.508972,-302.059814,-576.718201,-717.375305
44,0.367000,-314.715118,-907.950134,-363.011749,-284.720581,-897.480713,-456.113739,-334.474152,-339.124939,-361.741058,-282.413269,-787.888000,-523.846985,-306.417511,-349.009705,-455.464050,-294.308624,-445.164886,-540.177979,-274.989014,-749.135132,-665.761719,-288.811310,-402.589630,-683.495911,-302.044281,-576.767761,-717.350281
45,0.375000,-314.598907,-908.425537,-363.777435,-284.676422,-897.958801,-456.777313,-334.771179,-341.726685,-361.054260,-282.393646,-787.907471,-523.868652,-306.270020,-350.141205,-455.000244,-294.682190,-445.857422,-540.200562,-274.981995,-749.191223,-665.775574,-288.778778,-402.601654,-683.525757,-302.035675,-576.815613,-717.357727
46,0.383000,-314.561951,-908.916260,-364.463623,-284.626282,-898.371338,-457.503723,-334.172791,-343.977783,-360.615173,-282.357849,-787.920349,-523.898132,-306.327271,-351.332947,-454.567749,-294.711548,-446.508362,-540.390869,-274.954071,-749.218018,-665.793884,-288.766357,-402.615295,-683.557007,-302.010132,-576.831177,-717.382446
47,0.392000,-314.386230,-909.468445,-365.074951,-284.594086,-898.833679,-458.208344,-334.055176,-346.083832,-360.078247,-282.298065,-787.994507,-523.937256,-306.201782,-352.533386,-454.134613,-294.599731,-447.124725,-540.623413,-274.936829,-749.255005,-665.805542,-288.713684,-402.595947,-683.583008,-301.943390,-576.939758,-717.429932
48,0.400000,-314.235107,-909.816650,-365.885559,-284.413452,-899.305237,-458.929504,-333.818268,-348.455353,-359.659973,-282.252563,-788.083618,-523.980225,-306.203888,-353.703247,-453.725830,-294.588898,-447.664276,-540.851013,-274.932434,-749.334412,-665.833801,-288.711365,-402.667480,-683.591309,-301.921631,-576.986511,-717.449707
49,0.408000,-314.188934,-910.200867,-366.595764,-284.435638,-899.665710,-459.624359,-333.847809,-350.887939,-359.072998,-282.242889,-788.052124,-523.985229,-306.095856,-354.782532,-453.250366,-294.586090,-448.071625,-541.038391,-274.913757,-749.351685,-665.836670,-288.700073,-402.701141,-683.609009,-301.905945,-577.002319,-717.460083
50,0.417000,-314.119568,-910.661926,-367.339020,-284.295654,-900.037964,-460.406830,-333.723114,-353.068848,-358.578094,-282.200500,-788.037170,-524.007996,-306.066010,-355.941925,-452.824158,-294.086273,-448.585327,-541.347168,-274.899750,-749.368591,-665.846375,-288.653015,-402.668152,-683.652283,-301.881744,-577.018188,-717.489319
51,0.425000,-314.040070,-911.015442,-368.064880,-284.205933,-900.439819,-461.148926,-333.619781,-355.425354,-358.137634,-282.168518,-788.069519,-524.029663,-306.060547,-357.095398,-452.441345,-294.019714,-449.062653,-541.493835,-274.883148,-749.423950,-665.862549,-288.659790,-402.726776,-683.666931,-301.872772,-577.049866,-717.487549
52,0.433000,-313.883026,-911.289307,-368.750336,-284.113953,-900.853210,-461.794861,-333.595032,-357.962463,-357.657166,-282.143127,-788.112427,-524.030029,-305.981171,-358.304749,-451.941162,-294.146118,-449.495209,-541.767456,-274.887817,-749.448914,-665.851379,-288.607452,-402.682892,-683.619812,-301.860748,-577.066895,-717.461792
53,0.442000,-313.863678,-911.691406,-369.510986,-284.029938,-901.230225,-462.554657,-333.554749,-360.480499,-357.229706,-282.129578,-788.084534,-524.034363,-306.009644,-359.446350,-451.594452,-294.191010,-450.026367,-541.967285,-274.853149,-749.470276,-665.867188,-288.617920,-402.702789,-683.640686,-301.845825,-577.073120,-717.477478
